Sort	Technologies	ContigNG50	ScaffoldNG50	NumGaps	NumMisjoins
1	v1.0*=Curated	12.77	44.7	429	0
2	v1.0*	12.77	72.7	434	20
3	CLR_linked._Opt._Hi-C	4.53	35.2	3083	730
4	CLR_Opt._Hi-C	4.53	25.5	3998	686
5	CLR_linked._Hi-C	4.62	22	575	658
6	CLR_linked._Opt.	4.53	21.3	2980	692
7	CLR_Opt.	4.53	15.5	3798	576
8	CLR_Hi-C	4.54	15.8	432	680
9	CLR_linked.	4.62	12.9	372	560
10	CLR	4.62	4.6	0	458
11	CLR_1D=and=2D	7.66	7.7	0	559
12	NRGene	0.06	21.9	37501	5193
13	linked.=(Supernova2)	0.17	21.5	18749	6998
14	SR_Opt._Hi-C	0.025	31.4	70676	7982
15	SR_Opt.	0.025	14.8	70422	7922
16	SR_Hi-C	0.025	11.7	70511	7909
17	SR	0.025	4	70084	7861
