Chromosome	AssembledChrSize	KaryotypeSize
Z	74.08	73.39
W	26.45	20.38
33	1.89	1.75
25	2.16	2.67
22	5.2	5.04
28	5.71	5.37
27	5.75	5.54
26	6.31	6
23	6.42	6.5
24	6.46	7.67
21	7.71	7.91
17	10.47	8.61
19	11.17	9.05
18	11.62	12.62
15	13.89	13.21
20	15.12	14.94
14	15.5	15.05
5	16.65	15.11
13	17.7	17.98
4	18.6	19.06
11	20.3	19.91
12	21.35	20.06
10	22.66	22.95
4B	23.29	23.77
9	25.69	25.98
8	31.09	28.96
6	35.4	36.75
7	39.14	37.54
5A	43.88	42.66
4A	44.75	43.72
3	114.81	113.59
2	151.34	151.81
1	197.55	201.5
