Species	Order	Assembly	Label	Count	Category
bCalAnn	1	Previous	Previous_Total	4168	TotalCDS
bCalAnn	2	VGP	VGP_Total	1682	TotalCDS
bTaeGut	4	Previous	Previous_Total	3072	TotalCDS
bTaeGut	5	VGP	VGP_Total	1178	TotalCDS
bTaeGut	6	VGP	VGPTrio_Total	919	TotalCDS
mOrnAna	8	Previous	Previous_Total	8500	TotalCDS
mOrnAna	9	VGP	VGP_Total	2526	TotalCDS
bCalAnn	1	Previous	Previous_Fully	18280	Fully-supportedCDS
bCalAnn	2	VGP	VGP_Fully	27549	Fully-supportedCDS
bTaeGut	4	Previous	Previous_Fully	33879	Fully-supportedCDS
bTaeGut	5	VGP	VGP_Fully	42799	Fully-supportedCDS
bTaeGut	6	VGP	VGPTrio_Fully	41466	Fully-supportedCDS
mOrnAna	8	Previous	Previous_Fully	20630	Fully-supportedCDS
mOrnAna	9	VGP	VGP_Fully	40677	Fully-supportedCDS
bCalAnn	1	Previous	Previous	1637	PartialCodingGenes
bCalAnn	2	VGP	VGP	110	PartialCodingGenes
bTaeGut	4	Previous	Previous	4109	PartialCodingGenes
bTaeGut	5	VGP	VGP	212	PartialCodingGenes
bTaeGut	6	VGP	VGPTrio	289	PartialCodingGenes
mOrnAna	8	Previous	Previous	5601	PartialCodingGenes
mOrnAna	9	VGP	VGP	228	PartialCodingGenes
