clade	position	GC_mean	GC_se	GC_sd
Mammal	UTR5	0.6480846718668309	0.009245927605908894	0.018491855
Mammal	FirstCDS	0.5956461313396777	0.005823216954674263	0.011646434
Mammal	InternalCDS	0.5189858583950291	0.0069732877683540626	0.013946576
Mammal	LastCDS	0.5328481041882518	0.008053379664455912	0.016106759
Mammal	UTR3	0.47426880958510775	0.014440950189792018	0.0288819
Mammal	5'UTR-intron	0.48095802949664657	0.008486674079495438	0.016973348
Mammal	First-intron	0.4942220309321076	0.012071354445381719	0.024142709
Mammal	Internal-intron	0.4807448859519333	0.0136912802955056	0.027382561
Mammal	Last-intron	0.4974526088911507	0.014617565496408183	0.029235131
Mammal	3'UTR-intron	0.4732424301826189	0.012104947972740641	0.024209896
Mammal	five-prime-30kb-100bp	0.6530947633405677	0.013417562050849033	0.026835124
Mammal	five-prime-30kb-200bp	0.6117956434933846	0.014662799970268222	0.0293256
Mammal	five-prime-30kb-300bp	0.5729209483274786	0.013387359838483095	0.02677472
Mammal	five-prime-30kb-400bp	0.5477206041990755	0.012453697456121874	0.024907395
Mammal	five-prime-30kb-500bp	0.5291659207384389	0.011906294795680178	0.02381259
Mammal	five-prime-30kb-600bp	0.5149469818981727	0.011717392340292534	0.023434785
Mammal	five-prime-30kb-700bp	0.503276832342372	0.011802192893769088	0.023604386
Mammal	five-prime-30kb-800bp	0.4942000647853716	0.012195113963224037	0.024390228
Mammal	five-prime-30kb-900bp	0.48743005950194984	0.012683805765010174	0.025367612
Mammal	five-prime-30kb-1000bp	0.4821030703430025	0.012764346349123884	0.025528693
Mammal	five-prime-30kb-1100bp	0.4769429947628769	0.012848722551696695	0.025697445
Mammal	five-prime-30kb-1200bp	0.4740450358875009	0.013465505884595799	0.026931012
Mammal	five-prime-30kb-1300bp	0.4716645043355746	0.013508943705535412	0.027017887
Mammal	five-prime-30kb-1400bp	0.4698437479365558	0.013677505455287361	0.027355011
Mammal	five-prime-30kb-1500bp	0.46853209436790444	0.013801772776748367	0.027603546
Mammal	five-prime-30kb-1600bp	0.46614918708774256	0.0136795867705102	0.027359174
Mammal	five-prime-30kb-1700bp	0.46542505268235274	0.014058662852602799	0.028117326
Mammal	five-prime-30kb-1800bp	0.46485281282815855	0.01441246338842872	0.028824927
Mammal	five-prime-30kb-1900bp	0.4651975349436835	0.013784254446403637	0.027568509
Mammal	five-prime-30kb-2000bp	0.46447857953801264	0.01380901830704486	0.027618037
Mammal	five-prime-30kb-2100bp	0.4642017321461976	0.013838462006950247	0.027676924
Mammal	five-prime-30kb-2200bp	0.46400489757771896	0.014100577244337944	0.028201154
Mammal	five-prime-30kb-2300bp	0.46409094962804887	0.013947533972573173	0.027895068
Mammal	five-prime-30kb-2400bp	0.4638992566580557	0.01399832804251035	0.027996656
Mammal	five-prime-30kb-2500bp	0.46346874316443676	0.0137204561184017	0.027440912
Mammal	five-prime-30kb-2600bp	0.46357138958285227	0.013903008582500471	0.027806017
Mammal	five-prime-30kb-2700bp	0.4635687568680435	0.013751362256316563	0.027502725
Mammal	five-prime-30kb-2800bp	0.46453473405074264	0.013290295771828161	0.026580592
Mammal	five-prime-30kb-2900bp	0.4636597511819669	0.013446599762710286	0.0268932
Mammal	five-prime-30kb-3000bp	0.46428455905023647	0.01336948301633069	0.026738966
Mammal	five-prime-30kb-3100bp	0.46402621498946395	0.013404470563069783	0.026808941
Mammal	five-prime-30kb-3200bp	0.46417198634469325	0.01361473469894079	0.027229469
Mammal	five-prime-30kb-3300bp	0.4642275865894194	0.013287445717230348	0.026574891
Mammal	five-prime-30kb-3400bp	0.4641176437989088	0.013531989425541308	0.027063979
Mammal	five-prime-30kb-3500bp	0.4648715764738301	0.01318756604394507	0.026375132
Mammal	five-prime-30kb-3600bp	0.46431829352956544	0.01332767976480932	0.02665536
Mammal	five-prime-30kb-3700bp	0.4646240411826791	0.013225433803046995	0.026450868
Mammal	five-prime-30kb-3800bp	0.46494454461875745	0.013249505079931086	0.02649901
Mammal	five-prime-30kb-3900bp	0.464447268443375	0.013063466068697318	0.026126932
Mammal	five-prime-30kb-4000bp	0.46473057857784694	0.013202410594738931	0.026404821
Mammal	five-prime-30kb-4100bp	0.46553590940767714	0.01325749228488154	0.026514985
Mammal	five-prime-30kb-4200bp	0.4658337417654304	0.013259679095346501	0.026519358
Mammal	five-prime-30kb-4300bp	0.465224844081837	0.01298863528122346	0.025977271
Mammal	five-prime-30kb-4400bp	0.4657869801103716	0.01344368773474517	0.026887375
Mammal	five-prime-30kb-4500bp	0.46635651788146215	0.013474402843010425	0.026948806
Mammal	five-prime-30kb-4600bp	0.4662382688251969	0.013129771244357161	0.026259542
Mammal	five-prime-30kb-4700bp	0.4658077540135843	0.013416862458659343	0.026833725
Mammal	five-prime-30kb-4800bp	0.46618173840644617	0.013555339705746614	0.027110679
Mammal	five-prime-30kb-4900bp	0.4655204778147839	0.013346507557377443	0.026693015
Mammal	five-prime-30kb-5000bp	0.4658313932502906	0.013003875545461771	0.026007751
Mammal	five-prime-30kb-5100bp	0.4658355526754779	0.013238298814247807	0.026476598
Mammal	five-prime-30kb-5200bp	0.4659935326584903	0.013231329737476918	0.026462659
Mammal	five-prime-30kb-5300bp	0.4660739523940199	0.013418662585309096	0.026837325
Mammal	five-prime-30kb-5400bp	0.4655500307869226	0.01340099963654488	0.026801999
Mammal	five-prime-30kb-5500bp	0.4657885797530335	0.013538833213721119	0.027077666
Mammal	five-prime-30kb-5600bp	0.4659260639401324	0.013295347284543152	0.026590695
Mammal	five-prime-30kb-5700bp	0.4657588094816046	0.013187300747603773	0.026374601
Mammal	five-prime-30kb-5800bp	0.4661402115895702	0.013297124532725727	0.026594249
Mammal	five-prime-30kb-5900bp	0.46663990331322175	0.013556170496247202	0.027112341
Mammal	five-prime-30kb-6000bp	0.46667251974677926	0.013499706291247516	0.026999413
Mammal	five-prime-30kb-6100bp	0.467224099735882	0.01359171569117684	0.027183431
Mammal	five-prime-30kb-6200bp	0.46648764367680734	0.012998011353928961	0.025996023
Mammal	five-prime-30kb-6300bp	0.4668680832027005	0.013302392588456386	0.026604785
Mammal	five-prime-30kb-6400bp	0.46705728181247386	0.013047291757478619	0.026094584
Mammal	five-prime-30kb-6500bp	0.46710000344439384	0.012902957369163788	0.025805915
Mammal	five-prime-30kb-6600bp	0.4672518063091703	0.012952609383879652	0.025905219
Mammal	five-prime-30kb-6700bp	0.4669405354797051	0.013240134551415227	0.026480269
Mammal	five-prime-30kb-6800bp	0.4672122749367503	0.013362570953869746	0.026725142
Mammal	five-prime-30kb-6900bp	0.46740627155795517	0.012896898691779743	0.025793797
Mammal	five-prime-30kb-7000bp	0.4676067835921072	0.013261626915473891	0.026523254
Mammal	five-prime-30kb-7100bp	0.46753512240684	0.012972715103481256	0.02594543
Mammal	five-prime-30kb-7200bp	0.46686253225971935	0.013357482716358544	0.026714965
Mammal	five-prime-30kb-7300bp	0.46688804696652053	0.012757111517487927	0.025514223
Mammal	five-prime-30kb-7400bp	0.4666847879230207	0.013245328073222356	0.026490656
Mammal	five-prime-30kb-7500bp	0.4674667592750564	0.012959263205509868	0.025918526
Mammal	five-prime-30kb-7600bp	0.4679137404134547	0.01279650300518196	0.025593006
Mammal	five-prime-30kb-7700bp	0.4674073980194344	0.012852895149877157	0.02570579
Mammal	five-prime-30kb-7800bp	0.46739182197391554	0.012938021813231672	0.025876044
Mammal	five-prime-30kb-7900bp	0.46744538397154844	0.01322331607436418	0.026446632
Mammal	five-prime-30kb-8000bp	0.4679941916277611	0.013306019506005767	0.026612039
Mammal	five-prime-30kb-8100bp	0.4680933553750486	0.013422483655464728	0.026844967
