position	GC_mean	Not_aln_mean
UTR5	68.60932894147258	55.89893963050165
FirstCDS	59.538918328538685	39.76027013100123
InternalCDS	48.04430902427727	2.2561577086973768
LastCDS	49.096709865209924	3.212935681627576
UTR3	42.77260148833914	3.1312180869723445
5'UTR-intron	48.392420881765624	13.284301140288893
First-intron	49.115454092407106	12.955478313751808
Internal-intron	42.716070307450984	2.339147209558458
Last-intron	44.66036969098347	3.173237507211731
3'UTR-intron	44.994791694237634	3.844923897513365
five-prime-30kb-100bp	67.40500515470488	55.08158869647627
five-prime-30kb-200bp	63.73411381734851	46.02775144359217
five-prime-30kb-300bp	60.750418001381824	35.82991379310345
five-prime-30kb-400bp	58.243599457106335	27.96343882038458
five-prime-30kb-500bp	56.11068135965486	21.96464602914547
five-prime-30kb-600bp	54.03874451260147	17.36284482758621
five-prime-30kb-700bp	52.36542559087606	13.941891542374343
five-prime-30kb-800bp	50.962669195620315	11.446848866281575
five-prime-30kb-900bp	49.684081961088594	9.878610225019399
five-prime-30kb-1000bp	48.796658347691476	8.577808431761358
five-prime-30kb-1100bp	48.03200082904622	7.613467839282635
five-prime-30kb-1200bp	47.45319338811445	6.90272507761297
five-prime-30kb-1300bp	47.00422595946529	6.466925398878827
five-prime-30kb-1400bp	46.73712807244502	6.291073738680466
five-prime-30kb-1500bp	46.37733745573332	6.113842173350582
five-prime-30kb-1600bp	46.30808390976567	6.077792151789565
five-prime-30kb-1700bp	46.02634182851949	5.903665373005606
five-prime-30kb-1800bp	45.88136967681375	5.646313065976714
five-prime-30kb-1900bp	45.87084102715018	5.553686934023286
five-prime-30kb-2000bp	45.76660040597819	5.503665373005606
five-prime-30kb-2100bp	45.73995169915474	5.378730377781611
five-prime-30kb-2200bp	45.64705134718293	5.403225806451613
five-prime-30kb-2300bp	45.584186680796705	5.322263434831363
five-prime-30kb-2400bp	45.62651313795362	5.314068834641594
five-prime-30kb-2500bp	45.51820433041687	5.189974980588388
five-prime-30kb-2600bp	45.4260569456428	5.057377049180328
five-prime-30kb-2700bp	45.52683347713546	4.933218291630716
five-prime-30kb-2800bp	45.57135461604832	5.033735979292493
five-prime-30kb-2900bp	45.43037100949094	5.116479723899913
five-prime-30kb-3000bp	45.53714088516953	5.223794323181779
five-prime-30kb-3100bp	45.50854503101936	5.287723233543266
five-prime-30kb-3200bp	45.45691238276002	5.222413941851436
five-prime-30kb-3300bp	45.357838297274064	5.0841169873177465
five-prime-30kb-3400bp	45.39855733622979	5.222778257118206
