position	GC_mean	Not_aln_mean
UTR5	69.37571948061371	30.337170200808895
FirstCDS	62.530933267125604	25.571883091355193
InternalCDS	51.479706896217	11.029101911591797
LastCDS	52.76620133635288	13.15891924714816
UTR3	44.997705228182625	12.739204939116533
5'UTR-intron	48.00952225972248	13.1057128635113
First-intron	51.06741166296446	17.2632695355885
Internal-intron	44.85906022136049	11.220657546513559
Last-intron	47.15654856662112	13.666626627219646
3'UTR-intron	47.64887325617516	14.460026958367344
five-prime-30kb-100bp	70.7039798380448	34.180110745285845
five-prime-30kb-200bp	65.27276365955073	31.438660874775316
five-prime-30kb-300bp	61.60657240652049	28.350011235113474
five-prime-30kb-400bp	58.62713474099404	25.205992509363295
five-prime-30kb-500bp	56.297907827705316	22.897287983218458
five-prime-30kb-600bp	54.36846449391874	21.007636445309576
five-prime-30kb-700bp	52.8076917028534	19.410989669112144
five-prime-30kb-800bp	51.53344061935632	18.16424614463243
five-prime-30kb-900bp	50.58767335841468	17.197245302792126
five-prime-30kb-1000bp	49.82846916777746	16.36652193442132
five-prime-30kb-1100bp	49.287436628997405	15.624822217231829
five-prime-30kb-1200bp	48.67783663678405	15.039523916460812
five-prime-30kb-1300bp	48.29415765739218	14.719023732874149
five-prime-30kb-1400bp	48.044358763195326	14.498989294003145
five-prime-30kb-1500bp	47.64934995123675	14.342692422881102
five-prime-30kb-1600bp	47.46902533383252	14.218569824035942
five-prime-30kb-1700bp	47.437472424059536	14.192918101512202
five-prime-30kb-1800bp	47.42356391196038	14.091031591555621
five-prime-30kb-1900bp	47.303083899648875	14.133777511603533
five-prime-30kb-2000bp	47.17544507198094	14.163622754491017
five-prime-30kb-2100bp	47.25381358276622	14.121715697282731
five-prime-30kb-2200bp	47.163252293601666	14.057718221290612
five-prime-30kb-2300bp	47.21142472112001	13.989294003144419
five-prime-30kb-2400bp	47.146457291961674	14.071492738433898
five-prime-30kb-2500bp	47.25127120596128	14.016544392873184
five-prime-30kb-2600bp	47.07277162249837	14.067974247641862
five-prime-30kb-2700bp	47.14707490654555	14.108391346657683
five-prime-30kb-2800bp	47.01122605363566	14.010405749363677
five-prime-30kb-2900bp	46.969289240661865	14.00539043198323
five-prime-30kb-3000bp	46.973819861827046	14.110196137146279
five-prime-30kb-3100bp	46.99433937655361	14.117748334456172
five-prime-30kb-3200bp	47.06640939604928	14.14067530134012
five-prime-30kb-3300bp	47.02838085154221	14.13924240155712
five-prime-30kb-3400bp	46.92767837089167	14.216815153103243
five-prime-30kb-3500bp	46.911581081392406	14.178870919436957
five-prime-30kb-3600bp	46.96688824532763	14.133647798742139
five-prime-30kb-3700bp	46.96211435127363	14.25104821802935
five-prime-30kb-3800bp	46.95912802487706	14.29522312069482
five-prime-30kb-3900bp	47.00336281136033	14.29853987270685
five-prime-30kb-4000bp	46.90299007356289	14.35994009734182
five-prime-30kb-4100bp	46.92702604511322	14.285564540281522
five-prime-30kb-4200bp	47.06491569964862	14.11942198262953
five-prime-30kb-4300bp	46.86083248745105	14.119338174739838
five-prime-30kb-4400bp	46.97634022162324	14.086253369272237
five-prime-30kb-4500bp	47.02710392333034	14.137466307277627
five-prime-30kb-4600bp	46.96096488502407	14.059294751815527
five-prime-30kb-4700bp	46.994856424365096	13.94744328816351
five-prime-30kb-4800bp	46.86529332499582	13.918475819733493
five-prime-30kb-4900bp	46.99139028224901	13.987721793815977
five-prime-30kb-5000bp	46.99309740856275	14.003893381251872
five-prime-30kb-5100bp	47.00064121762235	13.967130877508236
five-prime-30kb-5200bp	47.09172594533882	13.936802695619619
five-prime-30kb-5300bp	47.01742636110163	13.824123989218329
five-prime-30kb-5400bp	46.95461830760604	13.8692071572958
five-prime-30kb-5500bp	46.959897391865105	13.951710713483566
five-prime-30kb-5600bp	47.039689654284544	13.865229110512129
five-prime-30kb-5700bp	47.006364657431675	13.864020965930363
five-prime-30kb-5800bp	46.92004881790178	14.017520215633423
five-prime-30kb-5900bp	47.00722263821291	13.87016098839386
five-prime-30kb-6000bp	46.8619264340147	13.867175801138066
five-prime-30kb-6100bp	46.955061490999675	13.86546380175189
five-prime-30kb-6200bp	47.011807370715054	13.84480047914951
five-prime-30kb-6300bp	46.97510131080982	13.71007113440659
five-prime-30kb-6400bp	47.01058517917659	13.75456723569931
five-prime-30kb-6500bp	47.0421564956945	13.651291651067016
five-prime-30kb-6600bp	47.08655934107076	13.673605391239237
five-prime-30kb-6700bp	47.06166040296354	13.723474354174467
five-prime-30kb-6800bp	46.93613872173209	13.75147884687383
five-prime-30kb-6900bp	46.87957132392524	13.826757505427866
five-prime-30kb-7000bp	47.006364657431675	13.85780606514414
five-prime-30kb-7100bp	47.10644857279335	13.819842755522277
five-prime-30kb-7200bp	47.022238861849495	13.762111568700861
five-prime-30kb-7300bp	47.02057905902908	13.670385623362037
five-prime-30kb-7400bp	46.985148566936665	13.599460956801677
five-prime-30kb-7500bp	46.961892640563	13.549824062289437
five-prime-30kb-7600bp	46.958074417908215	13.479748446507449
five-prime-30kb-7700bp	46.85146365201767	13.471887399865238
five-prime-30kb-7800bp	46.92142970617398	13.505278131316912
five-prime-30kb-7900bp	46.83857442348008	13.477163821503444
five-prime-30kb-8000bp	46.71582924708803	13.41888148536348
five-prime-30kb-8100bp	46.771014275731254	13.369347109913148
five-prime-30kb-8200bp	46.82965181579932	13.378060651441407
five-prime-30kb-8300bp	46.80262074129539	13.375664545114189
five-prime-30kb-8400bp	46.87169814568568	13.393785099213778
five-prime-30kb-8500bp	46.81959361784457	13.450359389038635
five-prime-30kb-8600bp	46.92708212790579	13.42163983526769
five-prime-30kb-8700bp	46.948700666516885	13.523777428293267
five-prime-30kb-8800bp	46.89775374032319	13.525610304028756
five-prime-30kb-8900bp	46.814962889771934	13.59757376067096
five-prime-30kb-9000bp	47.04081174180021	13.526209375468024
five-prime-30kb-9100bp	47.01227276374766	13.4099588169225
five-prime-30kb-9200bp	47.08036709766529	13.52920473266437
five-prime-30kb-9300bp	47.15261344915381	13.49558184813539
five-prime-30kb-9400bp	46.94360817793754	13.370104096457725
five-prime-30kb-9500bp	46.89654788174604	13.205662073097663
five-prime-30kb-9600bp	46.81382218739918	13.148666866387059
five-prime-30kb-9700bp	46.886669128921426	13.24537487828627
five-prime-30kb-9800bp	46.91793050814832	13.106351108448173
five-prime-30kb-9900bp	46.888495604798266	13.184167165967645
five-prime-30kb-10000bp	46.83594034412882	13.34142140342994
five-prime-30kb-10100bp	46.90186877007305	13.359143327841846
five-prime-30kb-10200bp	46.91201138235735	13.255728620638012
five-prime-30kb-10300bp	46.898457391043884	13.33023813089711
five-prime-30kb-10400bp	46.770142025701745	13.298464994384126
five-prime-30kb-10500bp	46.80119805316361	13.332534631224261
five-prime-30kb-10600bp	46.939808525431886	13.4819917633845
five-prime-30kb-10700bp	46.888189919868196	13.528645248258819
five-prime-30kb-10800bp	46.8962779899648	13.576874110686736
five-prime-30kb-10900bp	46.791956863626154	13.589380663521306
five-prime-30kb-11000bp	46.88335330387679	13.568112034748745
five-prime-30kb-11100bp	46.773008574708044	13.584693724726673
five-prime-30kb-11200bp	46.82791672906994	13.632993859517747
five-prime-30kb-11300bp	46.92408909048118	13.533323348809345
five-prime-30kb-11400bp	46.92091072498502	13.506216297183942
five-prime-30kb-11500bp	46.9836667847232	13.390832147404689
five-prime-30kb-11600bp	46.99734313387419	13.391581154969666
five-prime-30kb-11700bp	46.91901928342227	13.340349037525279
five-prime-30kb-11800bp	46.75462899358884	13.276009287693805
five-prime-30kb-11900bp	46.88867875065538	13.201483034978652
five-prime-30kb-12000bp	46.85896187551494	13.13369785034829
