position	GC_mean	Not_aln_mean
UTR5	67.55586379885669	36.37661703639107
FirstCDS	61.29399909337878	30.562448096298258
InternalCDS	53.531305945220694	10.280447248474102
LastCDS	55.32075630474172	12.868629261103406
UTR3	51.432019391283724	11.683706757139541
5'UTR-intron	50.60206611506241	16.211104827003084
First-intron	52.75972684593759	19.243849445392403
Internal-intron	51.720807627290725	11.354388980841088
Last-intron	53.7263926374926	13.870641639500532
3'UTR-intron	50.79654771145382	12.018141332368982
five-prime-30kb-100bp	68.93453845452889	42.26973684210526
five-prime-30kb-200bp	64.93174516663065	40.30123806154935
five-prime-30kb-300bp	60.56053099404855	38.05362954577614
five-prime-30kb-400bp	57.73982460740611	36.09000212269157
five-prime-30kb-500bp	55.80110880692626	34.2555720653789
five-prime-30kb-600bp	54.46426991933201	32.41473252193603
five-prime-30kb-700bp	53.43499943284876	30.93879139541466
five-prime-30kb-800bp	52.715274625181536	29.686053916365953
five-prime-30kb-900bp	52.226719360962846	28.480789641265122
five-prime-30kb-1000bp	51.7013079118098	27.522111370551194
five-prime-30kb-1100bp	51.25552149593577	26.587390319841493
five-prime-30kb-1200bp	51.144731712003505	25.844537220492498
five-prime-30kb-1300bp	50.90543171353027	25.33831021794509
five-prime-30kb-1400bp	50.776126486852185	24.663671101047267
five-prime-30kb-1500bp	50.71629398999905	24.18857911123691
five-prime-30kb-1600bp	50.42888480045287	23.358547976224173
five-prime-30kb-1700bp	50.49369810674798	22.86321822813473
five-prime-30kb-1800bp	50.533083292052936	22.47441794635907
five-prime-30kb-1900bp	50.371761203030644	22.34102328214564
five-prime-30kb-2000bp	50.3352643470951	22.265657066025053
five-prime-30kb-2100bp	50.30238442653947	22.018257731229212
five-prime-30kb-2200bp	50.3417032098654	22.03439247045503
five-prime-30kb-2300bp	50.291489813402556	21.850329063760526
five-prime-30kb-2400bp	50.351884390430406	21.531422505307855
five-prime-30kb-2500bp	50.21514508138712	21.32130219391366
five-prime-30kb-2600bp	50.26270346779901	21.110049539985845
five-prime-30kb-2700bp	50.13842887473461	21.249823071479124
five-prime-30kb-2800bp	50.15435244161359	21.407218683651806
five-prime-30kb-2900bp	50.10806794055202	21.51104033970276
five-prime-30kb-3000bp	50.1621372965322	21.641047416843595
five-prime-30kb-3100bp	50.131280962491154	21.735598018400566
five-prime-30kb-3200bp	50.21035869929601	21.894975230007077
five-prime-30kb-3300bp	50.090289713431964	21.77303609341826
five-prime-30kb-3400bp	50.15987261146497	21.76121726822364
five-prime-30kb-3500bp	50.10379020209169	21.645293701344656
five-prime-30kb-3600bp	50.12505385816786	21.550813871196038
five-prime-30kb-3700bp	50.05271061715557	21.613305024769993
five-prime-30kb-3800bp	50.10481245576787	21.540976645435244
five-prime-30kb-3900bp	50.01330270439595	21.22271762208068
five-prime-30kb-4000bp	50.096751362446035	21.08103899780593
five-prime-30kb-4100bp	50.22287493807063	20.806921933611722
five-prime-30kb-4200bp	50.22939624424118	20.856323872885554
five-prime-30kb-4300bp	50.04998323904567	20.82907495222592
five-prime-30kb-4400bp	50.24607007212828	20.50951942812655
five-prime-30kb-4500bp	50.32615466049535	20.59980181200453
five-prime-30kb-4600bp	50.21287524139814	20.397551135961496
five-prime-30kb-4700bp	50.25150492834412	20.334347795314603
five-prime-30kb-4800bp	50.32948968736058	20.252123442808607
five-prime-30kb-4900bp	50.21777260180544	19.966310425366267
five-prime-30kb-5000bp	50.14424233845283	19.832259891004316
five-prime-30kb-5100bp	50.17834069089028	19.561610871257695
five-prime-30kb-5200bp	50.23129681667934	19.471866374124144
five-prime-30kb-5300bp	50.26299717677486	19.40317100792752
five-prime-30kb-5400bp	50.211939165443994	19.38714700261873
five-prime-30kb-5500bp	50.266426026847846	19.241630688654542
five-prime-30kb-5600bp	50.224785901337675	19.074669120249133
five-prime-30kb-5700bp	50.14714417156203	18.82525302569184
five-prime-30kb-5800bp	50.22500085193836	18.99617807346592
five-prime-30kb-5900bp	50.35481504835317	18.979828721070138
five-prime-30kb-6000bp	50.338523603935165	18.87720291598839
five-prime-30kb-6100bp	50.406822846627506	18.74378936938212
five-prime-30kb-6200bp	50.20567626866728	18.762899002052517
five-prime-30kb-6300bp	50.285111001014464	18.871753131856465
five-prime-30kb-6400bp	50.287493807063484	18.95930356005379
five-prime-30kb-6500bp	50.22570599476254	18.90891075093779
five-prime-30kb-6600bp	50.30823129733173	18.78583056125699
five-prime-30kb-6700bp	50.3407176728714	18.78207941114021
five-prime-30kb-6800bp	50.38702567161764	18.851298747257413
five-prime-30kb-6900bp	50.29376044787502	18.801528878822197
five-prime-30kb-7000bp	50.37943037793663	18.757166112251397
five-prime-30kb-7100bp	50.34775992639253	18.69551985278505
five-prime-30kb-7200bp	50.420506789265474	18.800339726803028
five-prime-30kb-7300bp	50.233986835586386	18.677896524877912
five-prime-30kb-7400bp	50.36491071763124	18.453181399957533
five-prime-30kb-7500bp	50.324155991223726	18.38275886474627
five-prime-30kb-7600bp	50.298251822492745	18.360039634793687
five-prime-30kb-7700bp	50.265526071626084	18.395427843442565
five-prime-30kb-7800bp	50.27778759954125	18.28165923409075
five-prime-30kb-7900bp	50.35224878372801	18.31035458985066
five-prime-30kb-8000bp	50.38382051100573	18.185858871823907
five-prime-30kb-8100bp	50.463215281158114	18.2744709462807
five-prime-30kb-8200bp	50.41868826258977	18.301741223103058
five-prime-30kb-8300bp	50.51610275837044	18.23469459975936
five-prime-30kb-8400bp	50.44145630923288	18.043530577576444
five-prime-30kb-8500bp	50.31659956784752	18.14601174888527
five-prime-30kb-8600bp	50.3438318352325	18.012527425861702
five-prime-30kb-8700bp	50.4369382121877	17.920871965461107
five-prime-30kb-8800bp	50.426198883375385	17.891358199447943
five-prime-30kb-8900bp	50.4228766033981	17.82114799348857
five-prime-30kb-9000bp	50.32939344610376	17.828508740887536
five-prime-30kb-9100bp	50.495434921084296	18.013801401373062
five-prime-30kb-9200bp	50.45480925755538	18.10248425224715
five-prime-30kb-9300bp	50.49111755962913	18.018260315662822
five-prime-30kb-9400bp	50.47582985349282	17.936725882935807
five-prime-30kb-9500bp	50.463585533300304	17.855474555877983
five-prime-30kb-9600bp	50.526759207885846	17.952155141906715
five-prime-30kb-9700bp	50.495724598476826	18.096609809611437
five-prime-30kb-9800bp	50.41423178222548	18.024488640385023
five-prime-30kb-9900bp	50.43400366167804	17.84195626017411
five-prime-30kb-10000bp	50.48446457640314	17.824120603015075
five-prime-30kb-10100bp	50.41653943763081	17.896666430745277
five-prime-30kb-10200bp	50.29697088536657	17.759714063274117
five-prime-30kb-10300bp	50.37181937132394	17.758581640597352
five-prime-30kb-10400bp	50.37167327293318	17.78907134767837
five-prime-30kb-10500bp	50.325631493426556	17.71609569648924
five-prime-30kb-10600bp	50.25107949316911	17.79521483683726
five-prime-30kb-10700bp	50.407192284660965	17.76385644510512
five-prime-30kb-10800bp	50.38807608672704	17.58504990443831
five-prime-30kb-10900bp	50.39376991150443	17.520566371681415
five-prime-30kb-11000bp	50.408877998738305	17.739398230088497
five-prime-30kb-11100bp	50.304587935429055	17.75092041914472
five-prime-30kb-11200bp	50.32179269328802	17.74214103653356
five-prime-30kb-11300bp	50.361434553904296	17.660152931180967
five-prime-30kb-11400bp	50.24224088476425	17.47451146983857
five-prime-30kb-11500bp	50.43067393866309	17.356981025205325
five-prime-30kb-11600bp	50.42778249787595	17.22960917587086
five-prime-30kb-11700bp	50.33517417162277	17.197606910223733
five-prime-30kb-11800bp	50.259349621499155	17.197536108751063
five-prime-30kb-11900bp	50.371309211923815	17.230616724491963
five-prime-30kb-12000bp	50.31411129541971	17.173322005097706
five-prime-30kb-12100bp	50.31202091603845	16.924596431605778
five-prime-30kb-12200bp	50.351730600119225	16.787494689137517
five-prime-30kb-12300bp	50.25692513006094	17.01677994902294
five-prime-30kb-12400bp	50.300583335060196	16.984636080430473
five-prime-30kb-12500bp	50.33003704632582	17.205946902654865
five-prime-30kb-12600bp	50.28199461331281	17.3627610619469
five-prime-30kb-12700bp	50.2476833608869	17.173734513274336
five-prime-30kb-12800bp	50.28120284232094	17.237734513274336
five-prime-30kb-12900bp	50.271252871398985	17.598442477876105
five-prime-30kb-13000bp	50.271221238938054	17.5947610619469
five-prime-30kb-13100bp	50.25040707964602	17.391079646017698
five-prime-30kb-13200bp	50.27525663716814	17.273982300884956
five-prime-30kb-13300bp	50.365451327433625	17.240566371681417
five-prime-30kb-13400bp	50.302300884955756	17.09720353982301
five-prime-30kb-13500bp	50.32601769911504	16.98258407079646
five-prime-30kb-13600bp	50.28695836873407	16.851175304446333
five-prime-30kb-13700bp	50.379375445020855	16.85699115044248
five-prime-30kb-13800bp	50.28116596670202	17.113549483222428
five-prime-30kb-13900bp	50.32783519750814	17.274458445419793
five-prime-30kb-14000bp	50.336542545660485	17.14108735664732
five-prime-30kb-14100bp	50.246708197649724	17.20720656944641
five-prime-30kb-14200bp	50.31841993487187	17.09847090471471
five-prime-30kb-14300bp	50.30110299818639	17.117018264193685
