position	GC_mean	Not_aln_mean
UTR5	48.23216278508249	6.963721664976739
FirstCDS	51.46773659457546	5.730007838722033
InternalCDS	50.5424153906638	3.166879966092477
LastCDS	50.976864734783625	4.304205105699333
UTR3	37.242525387301335	5.464316853582216
5'UTR-intron	38.30429020191655	7.777073406343237
First-intron	37.77705256846376	8.325790639084216
Internal-intron	36.722711925983	6.426101784340539
Last-intron	36.80008566676966	7.8167519351063675
3'UTR-intron	36.57275910580143	10.51619603280135
five-prime-30kb-100bp	46.83650970523198	9.416227439706118
five-prime-30kb-200bp	38.99486443180603	10.665779386712096
five-prime-30kb-300bp	37.64106470103657	11.146515466112975
five-prime-30kb-400bp	37.23894956193721	11.359135434412266
five-prime-30kb-500bp	37.571904555601236	11.275606899488928
five-prime-30kb-600bp	37.825616417582985	11.317131601362862
five-prime-30kb-700bp	38.142103485225405	11.108336882453152
five-prime-30kb-800bp	38.26609167864559	10.955278709471331
five-prime-30kb-900bp	38.56982377681946	10.861683437150615
five-prime-30kb-1000bp	38.85243748779925	10.746100196986637
five-prime-30kb-1100bp	38.959438744132164	10.507373688974072
five-prime-30kb-1200bp	39.225087021445425	10.343182665175958
five-prime-30kb-1300bp	39.30620360753066	10.263695895224405
five-prime-30kb-1400bp	39.46668188143646	10.334895112341604
five-prime-30kb-1500bp	39.58059669488274	10.173197742519433
five-prime-30kb-1600bp	39.592553153728744	10.270578213182835
five-prime-30kb-1700bp	39.71842021196106	10.346395485038867
five-prime-30kb-1800bp	39.79916941752742	10.352305398786072
five-prime-30kb-1900bp	39.87031953271295	10.409807262272388
five-prime-30kb-2000bp	39.937633866854775	10.15546800127782
five-prime-30kb-2100bp	39.87586646598505	10.212064742838889
five-prime-30kb-2200bp	39.90089137047584	10.370374314466748
five-prime-30kb-2300bp	39.926747371472864	10.393737685712765
five-prime-30kb-2400bp	40.02014596009607	10.464749733759318
five-prime-30kb-2500bp	40.1874260098571	10.572843450479233
five-prime-30kb-2600bp	40.209904153354636	10.404259850905218
five-prime-30kb-2700bp	40.1919595314164	10.261075612353567
five-prime-30kb-2800bp	40.21179474847413	10.378753993610223
five-prime-30kb-2900bp	40.1536386226482	10.430937167199149
five-prime-30kb-3000bp	40.240719239460766	10.461821086261981
five-prime-30kb-3100bp	40.189853180337785	10.3953884658395
five-prime-30kb-3200bp	40.23531604451781	10.335374620586826
five-prime-30kb-3300bp	40.31244660432444	10.276425794770754
five-prime-30kb-3400bp	40.20548789301119	10.223387826827839
