Sample_Chromosome	CenSat	Size
mGorGor1	HSat1A	5302091
mPanPan1	HSat1A	107058180
mPanTro3	HSat1A	32645231
HG002	HSat1A	13375956
CHM13	HSat1A	8807215
mGorGor1	HSat1B	1324117
mPanPan1	HSat1B	174303
mPanTro3	HSat1B	357711
HG002	HSat1B	2774011
CHM13	HSat1B	1077655
mGorGor1	HSat2	8903
HG002	HSat2	15614
CHM13	HSat2	4449
mGorGor1	HSat3	2301438
mPanPan1	HSat3	21397661
mPanTro3	HSat3	12844382
mPonAbe1	HSat3	119561318
mPonPyg2	HSat3	165434770
mSymSyn1	HSat3	2014179
HG002	HSat3	26859432
CHM13	HSat3	15531306
mGorGor1	bSat	8080021
mPanPan1	bSat	6795569
mPanTro3	bSat	6555283
mPonAbe1	bSat	2739177
mPonPyg2	bSat	3925417
mSymSyn1	bSat	665176
HG002	bSat	9192708
CHM13	bSat	6078959
mGorGor1	Other	5819726
mPanPan1	Other	25080853
mPanTro3	Other	21937788
mPonAbe1	Other	5919919
mPonPyg2	Other	6953735
mSymSyn1	Other	52963
HG002	Other	5234305
CHM13	Other	2334474
mGorGor1	aSat	329459
mPanPan1	aSat	6204293
mPanTro3	aSat	2991410
mPonAbe1	aSat	46633937
mPonPyg2	aSat	44382764
mSymSyn1	aSat	148052
HG002	aSat	12685522
CHM13	aSat	5532003
mGorGor1	rDNA	25155000
mPanPan1	rDNA	45720000
mPanTro3	rDNA	61695000
mPonAbe1	rDNA	44370000
mPonPyg2	rDNA	48420000
mSymSyn1	rDNA	15435000
HG002	rDNA	28215000
CHM13	rDNA	9928083
mGorGor1	ct	14826526
mPanPan1	ct	17591167
mPanTro3	ct	30026428
mPonAbe1	ct	61762956
mPonPyg2	ct	77735034
mSymSyn1	ct	4065635
HG002	ct	34711574
CHM13	ct	16642167
mGorGor1_SD	SD	15869541
mPanPan1_SD	SD	27341551
mPanTro3_SD	SD	51107519
mPonAbe1_SD	SD	74403480
mPonPyg2_SD	SD	113786674
mSymSyn1_SD	SD	4981925
HG002_SD	SD	55893290
CHM13_SD	SD	24807101
