start1	end1	start2	end2	col
3893683500	3893683500	3538087993	3538087993	28
3919635986	3919635986	3565771628	3565771628	28
2528449711	2528449711	2845883787	2845883787	28
322868056	322868056	931630682	931630682	28
325529313	325529313	928441279	928441279	28
327018583	327018583	926745638	926745638	28
338518886	338518886	912487451	912487451	28
362667684	362667684	885042944	885042944	28
363438757	363438757	884178386	884178386	28
3959964850	3959964850	3540196838	3540196838	28
352928958	352928958	895992096	895992096	28
3982183989	3982183989	3586150935	3586150935	28
4000915229	4000915229	3623711225	3623711225	28
4005278427	4005278427	3628269135	3628269135	28
3991400320	3991400320	3574820973	3574820973	28
3993110654	3993110654	3572415920	3572415920	28
3893153448	3893153448	3538438017	3538438017	28
4001574877	4001574877	3624394343	3624394343	28
3980731981	3980731981	3587576946	3587576946	28
42944727	42944727	1627209367	1627209367	27
4561031453	4561031453	3879901409	3879901409	27
4557562834	4557562834	3876094611	3876094611	27
4557480806	4557480806	3876049548	3876049548	27
4557405621	4557405621	3875992007	3875992007	27
4560232484	4560232484	3879257310	3879257310	27
637598031	637598031	1623893269	1623893269	27
637642570	637642570	1623940884	1623940884	27
640438971	640438971	1627192691	1627192691	27
4521074688	4521074688	3839024507	3839024507	27
643000733	643000733	1629796389	1629796389	27
648409795	648409795	1635507665	1635507665	27
651156672	651156672	1637287508	1637287508	27
567502876	567502876	1544134174	1544134174	27
565561327	565561327	1541413698	1541413698	27
564798741	564798741	1540656722	1540656722	27
799206975	799206975	1353248493	1353248493	27
778900263	778900263	1375753059	1375753059	27
645391647	645391647	1632470315	1632470315	27
394361668	394361668	849189345	849189345	26
422168403	422168403	819554330	819554330	26
408393536	408393536	833048116	833048116	26
402876169	402876169	839600859	839600859	26
398384531	398384531	844680412	844680412	26
396448616	396448616	846602617	846602617	26
1807554247	1807554247	2541305942	2541305942	26
388867446	388867446	855086664	855086664	26
385109604	385109604	859505205	859505205	26
381898519	381898519	863601311	863601311	26
375216767	375216767	870605620	870605620	26
385548532	385548532	859149147	859149147	26
2107405040	2107405040	3775476453	3775476453	25
4647501189	4647501189	4194315320	4194315320	25
4659990160	4659990160	4196182889	4196182889	25
4673505489	4673505489	4198608276	4198608276	25
4675640241	4675640241	4161399900	4161399900	25
4669230173	4669230173	4154596235	4154596235	25
4665317918	4665317918	4157111950	4157111950	25
2104841438	2104841438	2762233321	2762233321	25
2094231251	2094231251	2783210548	2783210548	25
2099266518	2099266518	2789159470	2789159470	25
2514965296	2514965296	2832231413	2832231413	25
2486669710	2486669710	3337067802	3337067802	25
2512387790	2512387790	2830284530	2830284530	25
4605690051	4605690051	4210595438	4210595438	25
4600881817	4600881817	4213592092	4213592092	25
4600478297	4600478297	4213846084	4213846084	25
4637050472	4637050472	4184380697	4184380697	25
4652442531	4652442531	4143104864	4143104864	25
4631593929	4631593929	4177338502	4177338502	25
4657529638	4657529638	4142027862	4142027862	25
4607146004	4607146004	4209584699	4209584699	25
4606484080	4606484080	4210041529	4210041529	25
4624341491	4624341491	4168201068	4168201068	25
4626944744	4626944744	4171573361	4171573361	25
4628162201	4628162201	4173325873	4173325873	25
4608739398	4608739398	4208426667	4208426667	25
4898225688	4898225688	4348355312	4348355312	25
4646917082	4646917082	4193177479	4193177479	25
4644646440	4644646440	4191392868	4191392868	25
4637385074	4637385074	4184638874	4184638874	25
4644279777	4644279777	4191080106	4191080106	25
5027651094	5027651094	4481397220	4481397220	24
5031837218	5031837218	4465053331	4465053331	24
5030359734	5030359734	4466428276	4466428276	24
5028393605	5028393605	4480757522	4480757522	24
5045595973	5045595973	4484785717	4484785717	24
1362045051	1362045051	248234117	248234117	23
1384179217	1384179217	222545453	222545453	23
1360120155	1360120155	250387423	250387423	23
1382696770	1382696770	224072998	224072998	23
1362113965	1362113965	248174920	248174920	23
1379046437	1379046437	228542113	228542113	23
1382597224	1382597224	224176033	224176033	23
1388273150	1388273150	218103087	218103087	23
1384289297	1384289297	222184687	222184687	23
1284214871	1284214871	384065708	384065708	23
4428742384	4428742384	4812581686	4812581686	23
3117724533	3117724533	5177710352	5177710352	23
1283384995	1283384995	383194059	383194059	23
1286214793	1286214793	386475171	386475171	23
1341169141	1341169141	271818153	271818153	23
1335557249	1335557249	278414858	278414858	23
1329803966	1329803966	439454320	439454320	23
3135295850	3135295850	5165599336	5165599336	23
4200678056	4200678056	2071216159	2071216159	22
4197990631	4197990631	2068481640	2068481640	22
4197993060	4197993060	2068458507	2068458507	22
4202255800	4202255800	2072391404	2072391404	22
4200999691	4200999691	2071403565	2071403565	22
4199086461	4199086461	2069822701	2069822701	22
4200613754	4200613754	2071141492	2071141492	22
4199518038	4199518038	2070094920	2070094920	22
4199389003	4199389003	2070010686	2070010686	22
4685815347	4685815347	4225709299	4225709299	22
4727219300	4727219300	4256821950	4256821950	22
4726678004	4726678004	4256291835	4256291835	22
5099461821	5099461821	4437221182	4437221182	22
4727353228	4727353228	4256974738	4256974738	22
4717370699	4717370699	4246512395	4246512395	22
4701587789	4701587789	4236514694	4236514694	22
4729541619	4729541619	4259148772	4259148772	22
4728225133	4728225133	4257821734	4257821734	22
4728996274	4728996274	4258689345	4258689345	22
4715926663	4715926663	4245194109	4245194109	22
5096664008	5096664008	4435760318	4435760318	22
5072491659	5072491659	4443374351	4443374351	22
5070688965	5070688965	4444544315	4444544315	22
4433775612	4433775612	4802092870	4802092870	21
4451418971	4451418971	4781507852	4781507852	21
4444125884	4444125884	4790468654	4790468654	21
4443797978	4443797978	4790933593	4790933593	21
4439855536	4439855536	4796795224	4796795224	21
4431377603	4431377603	4804059371	4804059371	21
4428680546	4428680546	4812542340	4812542340	21
4427058101	4427058101	4811715012	4811715012	21
4425708029	4425708029	4807753764	4807753764	21
4428474823	4428474823	4812506703	4812506703	21
4435715189	4435715189	4800654373	4800654373	21
4515280211	4515280211	4644233056	4644233056	21
4414110261	4414110261	4805541243	4805541243	21
4484390510	4484390510	4747762138	4747762138	21
4484612327	4484612327	4747652032	4747652032	21
4495668649	4495668649	4732824793	4732824793	21
4500714189	4500714189	4727634514	4727634514	21
4421014995	4421014995	4806241317	4806241317	21
