Sample_Chromosome	CenSat	Size
HG002_chr13_MATERNAL	HSat1A	2666680
HG002_chr13_PATERNAL	HSat1A	1971452
HG002_chr14_MATERNAL	HSat1A	1099089
HG002_chr14_PATERNAL	HSat1A	1150463
HG002_chr15_MATERNAL	HSat1A	246333
HG002_chr15_PATERNAL	HSat1A	556691
HG002_chr21_MATERNAL	HSat1A	3429629
HG002_chr21_PATERNAL	HSat1A	1288935
HG002_chr22_MATERNAL	HSat1A	304500
HG002_chr22_PATERNAL	HSat1A	662184
mGorGor1_chr22_mat_hsa21	HSat1A	2617483
mGorGor1_chr22_pat_hsa21	HSat1A	2119022
mGorGor1_chr23_mat_hsa22	HSat1A	285835
mGorGor1_chr23_pat_hsa22	HSat1A	279751
mPanPan1_chr14_pat_hsa13	HSat1A	10036563
mPanPan1_chr14_mat_hsa13	HSat1A	5548625
mPanPan1_chr15_mat_hsa14	HSat1A	4200694
mPanPan1_chr15_pat_hsa14	HSat1A	10064382
mPanPan1_chr17_mat_hsa18	HSat1A	18146976
mPanPan1_chr17_pat_hsa18	HSat1A	35784905
mPanPan1_chr22_pat_hsa21	HSat1A	5265375
mPanPan1_chr22_mat_hsa21	HSat1A	6450959
mPanPan1_chr23_pat_hsa22	HSat1A	3068206
mPanPan1_chr23_mat_hsa22	HSat1A	8491495
mPanTro3_chr14_hap1_hsa13	HSat1A	3424603
mPanTro3_chr14_hap2_hsa13	HSat1A	1885368
mPanTro3_chr15_hap1_hsa14	HSat1A	5732819
mPanTro3_chr15_hap2_hsa14	HSat1A	4179547
mPanTro3_chr17_hap1_hsa18	HSat1A	4229588
mPanTro3_chr17_hap2_hsa18	HSat1A	4501103
mPanTro3_chr22_hap1_hsa21	HSat1A	1709493
mPanTro3_chr22_hap2_hsa21	HSat1A	1767073
mPanTro3_chr23_hap1_hsa22	HSat1A	4264832
mPanTro3_chr23_hap2_hsa22	HSat1A	950805
chm13_chr13	HSat1A	6538734
chm13_chr14	HSat1A	123362
chm13_chr15	HSat1A	308891
chm13_chr21	HSat1A	912679
chm13_chr22	HSat1A	923549
HG002_chr13_MATERNAL	HSat1B	120211
HG002_chr13_PATERNAL	HSat1B	117763
HG002_chr14_MATERNAL	HSat1B	100036
HG002_chr14_PATERNAL	HSat1B	106373
HG002_chr15_MATERNAL	HSat1B	463585
HG002_chr15_PATERNAL	HSat1B	561407
HG002_chr21_MATERNAL	HSat1B	93961
HG002_chr21_PATERNAL	HSat1B	35682
HG002_chr22_MATERNAL	HSat1B	547594
HG002_chr22_PATERNAL	HSat1B	627399
mGorGor1_chr22_mat_hsa21	HSat1B	133930
mGorGor1_chr22_pat_hsa21	HSat1B	108563
mGorGor1_chr23_mat_hsa22	HSat1B	643909
mGorGor1_chr23_pat_hsa22	HSat1B	437715
mPanPan1_chr14_pat_hsa13	HSat1B	38154
mPanPan1_chr14_mat_hsa13	HSat1B	22776
mPanPan1_chr15_mat_hsa14	HSat1B	19330
mPanPan1_chr15_pat_hsa14	HSat1B	10437
mPanPan1_chr17_mat_hsa18	HSat1B	15222
mPanPan1_chr17_pat_hsa18	HSat1B	45544
mPanPan1_chr22_pat_hsa21	HSat1B	7606
mPanPan1_chr23_pat_hsa22	HSat1B	7607
mPanPan1_chr23_mat_hsa22	HSat1B	7627
mPanTro3_chr14_hap1_hsa13	HSat1B	42736
mPanTro3_chr14_hap2_hsa13	HSat1B	53929
mPanTro3_chr15_hap1_hsa14	HSat1B	51687
mPanTro3_chr15_hap2_hsa14	HSat1B	44055
mPanTro3_chr17_hap1_hsa18	HSat1B	31510
mPanTro3_chr17_hap2_hsa18	HSat1B	38094
mPanTro3_chr22_hap1_hsa21	HSat1B	52721
mPanTro3_chr22_hap2_hsa21	HSat1B	10838
mPanTro3_chr23_hap1_hsa22	HSat1B	3399
mPanTro3_chr23_hap2_hsa22	HSat1B	28742
chm13_chr13	HSat1B	91351
chm13_chr14	HSat1B	87551
chm13_chr15	HSat1B	444131
chm13_chr21	HSat1B	65013
chm13_chr22	HSat1B	389609
HG002_chr13_PATERNAL	HSat2	2308
HG002_chr14_MATERNAL	HSat2	2098
HG002_chr14_PATERNAL	HSat2	2313
HG002_chr15_MATERNAL	HSat2	2308
HG002_chr15_PATERNAL	HSat2	2313
HG002_chr22_MATERNAL	HSat2	2137
HG002_chr22_PATERNAL	HSat2	2137
mGorGor1_chr22_mat_hsa21	HSat2	4463
mGorGor1_chr22_pat_hsa21	HSat2	4440
chm13_chr22	HSat2	4449
HG002_chr13_MATERNAL	HSat3	1475905
HG002_chr13_PATERNAL	HSat3	1814946
HG002_chr14_MATERNAL	HSat3	2189292
HG002_chr14_PATERNAL	HSat3	2064463
HG002_chr15_MATERNAL	HSat3	7836352
HG002_chr15_PATERNAL	HSat3	4907117
HG002_chr21_MATERNAL	HSat3	1089266
HG002_chr21_PATERNAL	HSat3	1056539
HG002_chr22_MATERNAL	HSat3	2234998
HG002_chr22_PATERNAL	HSat3	2190554
mGorGor1_chr22_mat_hsa21	HSat3	10813
mGorGor1_chr22_pat_hsa21	HSat3	7414
mGorGor1_chr23_mat_hsa22	HSat3	1135014
mGorGor1_chr23_pat_hsa22	HSat3	1148197
mPanPan1_chr14_pat_hsa13	HSat3	521692
mPanPan1_chr14_mat_hsa13	HSat3	261140
mPanPan1_chr15_mat_hsa14	HSat3	479741
mPanPan1_chr15_pat_hsa14	HSat3	338277
mPanPan1_chr17_mat_hsa18	HSat3	240964
mPanPan1_chr17_pat_hsa18	HSat3	543000
mPanPan1_chr22_pat_hsa21	HSat3	110061
mPanPan1_chr23_pat_hsa22	HSat3	9412949
mPanPan1_chr23_mat_hsa22	HSat3	9489837
mPanTro3_chr14_hap1_hsa13	HSat3	2780274
mPanTro3_chr14_hap2_hsa13	HSat3	1040294
mPanTro3_chr15_hap1_hsa14	HSat3	647266
mPanTro3_chr15_hap2_hsa14	HSat3	646093
mPanTro3_chr17_hap1_hsa18	HSat3	1896433
mPanTro3_chr17_hap2_hsa18	HSat3	1461524
mPanTro3_chr22_hap1_hsa21	HSat3	1275376
mPanTro3_chr22_hap2_hsa21	HSat3	1659165
mPanTro3_chr23_hap1_hsa22	HSat3	360333
mPanTro3_chr23_hap2_hsa22	HSat3	1077624
mPonAbe1_chr12_hap1_hsa2a	HSat3	8313681
mPonAbe1_chr12_hap2_hsa2a	HSat3	6895011
mPonAbe1_chr11_hap1_hsa2b	HSat3	7991967
mPonAbe1_chr11_hap2_hsa2b	HSat3	6334320
mPonAbe1_chr13_hap1_hsa9	HSat3	4942488
mPonAbe1_chr13_hap2_hsa9	HSat3	4930549
mPonAbe1_chr14_hap1_hsa13	HSat3	9744858
mPonAbe1_chr14_hap2_hsa13	HSat3	533238
mPonAbe1_chr15_hap1_hsa14	HSat3	10385552
mPonAbe1_chr15_hap2_hsa14	HSat3	3629218
mPonAbe1_chr16_hap1_hsa15	HSat3	5079905
mPonAbe1_chr16_hap2_hsa15	HSat3	6112389
mPonAbe1_chr17_hap1_hsa18	HSat3	6673421
mPonAbe1_chr17_hap2_hsa18	HSat3	3747140
mPonAbe1_chr22_hap1_hsa21	HSat3	6051946
mPonAbe1_chr22_hap2_hsa21	HSat3	6194613
mPonAbe1_chr23_hap1_hsa22	HSat3	10386878
mPonAbe1_chr23_hap2_hsa22	HSat3	7585402
mPonAbe1_chrY_hap2_hsaY	HSat3	4028742
mPonPyg2_chr12_hap1_hsa2a	HSat3	12781062
mPonPyg2_chr12_hap2_hsa2a	HSat3	13663519
mPonPyg2_chr11_hap1_hsa2b	HSat3	4210761
mPonPyg2_chr11_hap2_hsa2b	HSat3	4388182
mPonPyg2_chr13_hap1_hsa9	HSat3	4837661
mPonPyg2_chr13_hap2_hsa9	HSat3	4828057
mPonPyg2_chr14_hap1_hsa13	HSat3	10037449
mPonPyg2_chr14_hap2_hsa13	HSat3	12872375
mPonPyg2_chr15_hap1_hsa14	HSat3	6284612
mPonPyg2_chr15_hap2_hsa14	HSat3	8486569
mPonPyg2_chr16_hap1_hsa15	HSat3	10255142
mPonPyg2_chr16_hap2_hsa15	HSat3	11346388
mPonPyg2_chr17_hap1_hsa18	HSat3	8241758
mPonPyg2_chr17_hap2_hsa18	HSat3	9786669
mPonPyg2_chr22_hap1_hsa21	HSat3	4913473
mPonPyg2_chr22_hap2_hsa21	HSat3	4919116
mPonPyg2_chr23_hap1_hsa22	HSat3	14231810
mPonPyg2_chr23_hap2_hsa22	HSat3	10262079
mPonPyg2_chrY_hap2_hsaY	HSat3	9088088
mSymSyn1_chr21_hap1	HSat3	571658
mSymSyn1_chr21_hap2	HSat3	1442521
chm13_chr13	HSat3	1055542
chm13_chr14	HSat3	1883892
chm13_chr15	HSat3	8750214
chm13_chr21	HSat3	1600938
chm13_chr22	HSat3	2240720
HG002_chr13_MATERNAL	bSat	715814
HG002_chr13_PATERNAL	bSat	1504040
HG002_chr14_MATERNAL	bSat	806826
HG002_chr14_PATERNAL	bSat	1733184
HG002_chr15_MATERNAL	bSat	663760
HG002_chr15_PATERNAL	bSat	762152
HG002_chr21_MATERNAL	bSat	247975
HG002_chr21_PATERNAL	bSat	193301
HG002_chr22_MATERNAL	bSat	1372409
HG002_chr22_PATERNAL	bSat	1193247
mGorGor1_chr22_mat_hsa21	bSat	1356113
mGorGor1_chr22_pat_hsa21	bSat	1470138
mGorGor1_chr23_mat_hsa22	bSat	2635549
mGorGor1_chr23_pat_hsa22	bSat	2618221
mPanPan1_chr14_pat_hsa13	bSat	751196
mPanPan1_chr14_mat_hsa13	bSat	684285
mPanPan1_chr15_mat_hsa14	bSat	1063026
mPanPan1_chr15_pat_hsa14	bSat	952682
