ID	GenomeSize	ScaffoldNG50	Repeat	ContigNG50
aRhiBiv1	5.07	486.88	32.96	3.01
bCalAnn1	1.12	44.75	14.43	12.76
bStrHab1	1.19	83.24	14.98	6.11
bTaeGut1	1.04	71.55	11.48	12.08
bTaeGut2	1.01	73.51	13.83	4.13
fAnaTes1	0.66	23.46	24.63	3.18
fArcCen1	0.99	35.59	29.37	1.99
fAstCal1	0.97	36.68	30.81	2.26
fCotGob3	0.61	25.16	58.04	0.36
fGouWil2	1.18	36.80	43.12	1.07
fMasArm1	0.76	23.29	33.19	2.21
mLynCan4	2.47	146.11	14.74	6.03
mOrnAna1	2.13	70.14	34.64	10.80
mPhyDis1	2.21	171.74	20.30	5.31
mRhiFer1	2.37	83.96	19.97	22.76
rGopEvg1	2.68	131.61	30.57	10.23
sAmbRad1	3.18	49.75	54.13	0.44
