sample	hsat1A	hsat1B	hsat2	hsat3	bsat	other	alpha	total_rdna	total_nonsat_nonrdna	SD
mGorGor1	5302091	1324117	8903	2301438	8080021	5819726	329459	25155000	14826526	15869541
mPanPan1	107058180	174303	0	21397661	6795569	25080853	6204293	45720000	17591167	27341551
mPanTro3	32645231	357711	0	12844382	6555283	21937788	2991410	61695000	30026428	51107519
mPonAbe1	0	0	0	119561318	2739177	5919919	46633937	44370000	61762956	74403480
mPonPyg2	0	0	0	165434770	3925417	6953735	44382764	48420000	77735034	113786674
mSymSyn1	0	0	0	2014179	665176	52963	148052	15435000	4065635	4981925
HG002	13375956	2774011	15614	26859432	9192708	5234305	12685522	28215000	34711574	55893290
CHM13	8807215	1077655	4449	15531306	6078959	2334474	5532003	9928083	16642167	24807101
