Sample_Chromosome	CenSat	Size
HG002_chr13_MATERNAL	HSat1A	2666680
HG002_chr14_MATERNAL	HSat1A	1099089
HG002_chr15_MATERNAL	HSat1A	246333
HG002_chr21_MATERNAL	HSat1A	3429629
HG002_chr22_MATERNAL	HSat1A	304500
mGorGor1_chr22_mat_hsa21	HSat1A	2617483
mGorGor1_chr23_mat_hsa22	HSat1A	285835
mPanPan1_chr14_mat_hsa13	HSat1A	5548625
mPanPan1_chr15_mat_hsa14	HSat1A	4200694
mPanPan1_chr17_mat_hsa18	HSat1A	18146976
mPanPan1_chr22_mat_hsa21	HSat1A	6450959
mPanPan1_chr23_mat_hsa22	HSat1A	8491495
mPanTro3_chr14_hap1_hsa13	HSat1A	3424603
mPanTro3_chr15_hap1_hsa14	HSat1A	5732819
mPanTro3_chr17_hap1_hsa18	HSat1A	4229588
mPanTro3_chr22_hap1_hsa21	HSat1A	1709493
mPanTro3_chr23_hap1_hsa22	HSat1A	4264832
chm13_chr13	HSat1A	6538734
chm13_chr14	HSat1A	123362
chm13_chr15	HSat1A	308891
chm13_chr21	HSat1A	912679
chm13_chr22	HSat1A	923549
HG002_chr13_MATERNAL	HSat1B	120211
HG002_chr14_MATERNAL	HSat1B	100036
HG002_chr15_MATERNAL	HSat1B	463585
HG002_chr21_MATERNAL	HSat1B	93961
HG002_chr22_MATERNAL	HSat1B	547594
mGorGor1_chr22_mat_hsa21	HSat1B	133930
mGorGor1_chr23_mat_hsa22	HSat1B	643909
mPanPan1_chr14_mat_hsa13	HSat1B	22776
mPanPan1_chr15_mat_hsa14	HSat1B	19330
mPanPan1_chr17_mat_hsa18	HSat1B	15222
mPanPan1_chr23_mat_hsa22	HSat1B	7627
mPanTro3_chr14_hap1_hsa13	HSat1B	42736
mPanTro3_chr15_hap1_hsa14	HSat1B	51687
mPanTro3_chr17_hap1_hsa18	HSat1B	31510
mPanTro3_chr22_hap1_hsa21	HSat1B	52721
mPanTro3_chr23_hap1_hsa22	HSat1B	3399
chm13_chr13	HSat1B	91351
chm13_chr14	HSat1B	87551
chm13_chr15	HSat1B	444131
chm13_chr21	HSat1B	65013
chm13_chr22	HSat1B	389609
HG002_chr14_MATERNAL	HSat2	2098
HG002_chr15_MATERNAL	HSat2	2308
HG002_chr22_MATERNAL	HSat2	2137
mGorGor1_chr22_mat_hsa21	HSat2	4463
chm13_chr22	HSat2	4449
HG002_chr13_MATERNAL	HSat3	1475905
HG002_chr14_MATERNAL	HSat3	2189292
HG002_chr15_MATERNAL	HSat3	7836352
HG002_chr21_MATERNAL	HSat3	1089266
HG002_chr22_MATERNAL	HSat3	2234998
mGorGor1_chr22_mat_hsa21	HSat3	10813
mGorGor1_chr23_mat_hsa22	HSat3	1135014
mPanPan1_chr14_mat_hsa13	HSat3	261140
mPanPan1_chr15_mat_hsa14	HSat3	479741
mPanPan1_chr17_mat_hsa18	HSat3	240964
mPanPan1_chr23_mat_hsa22	HSat3	9489837
mPanTro3_chr14_hap1_hsa13	HSat3	2780274
mPanTro3_chr15_hap1_hsa14	HSat3	647266
mPanTro3_chr17_hap1_hsa18	HSat3	1896433
mPanTro3_chr22_hap1_hsa21	HSat3	1275376
mPanTro3_chr23_hap1_hsa22	HSat3	360333
mPonAbe1_chr12_hap1_hsa2a	HSat3	8313681
mPonAbe1_chr11_hap1_hsa2b	HSat3	7991967
mPonAbe1_chr13_hap1_hsa9	HSat3	4942488
mPonAbe1_chr14_hap1_hsa13	HSat3	9744858
mPonAbe1_chr15_hap1_hsa14	HSat3	10385552
mPonAbe1_chr16_hap1_hsa15	HSat3	5079905
mPonAbe1_chr17_hap1_hsa18	HSat3	6673421
mPonAbe1_chr22_hap1_hsa21	HSat3	6051946
mPonAbe1_chr23_hap1_hsa22	HSat3	10386878
mPonPyg2_chr12_hap1_hsa2a	HSat3	12781062
mPonPyg2_chr11_hap1_hsa2b	HSat3	4210761
mPonPyg2_chr13_hap1_hsa9	HSat3	4837661
mPonPyg2_chr14_hap1_hsa13	HSat3	10037449
mPonPyg2_chr15_hap1_hsa14	HSat3	6284612
