clade	species	position	GC_mean
mammal	mLynCan4	UTR5	0.6370214863332478
mammal	mLynCan4	FirstCDS	0.5902114781001674
mammal	mLynCan4	InternalCDS	0.5089420020300496
mammal	mLynCan4	LastCDS	0.5233771715877961
mammal	mLynCan4	UTR3	0.4601399857852372
mammal	mLynCan4	5'UTR-intron	0.4759882145553441
mammal	mLynCan4	First-intron	0.4865470390175616
mammal	mLynCan4	Internal-intron	0.4692498399246763
mammal	mLynCan4	Last-intron	0.4873800158791353
mammal	mLynCan4	3'UTR-intron	0.47016219036934803
mammal	mLynCan4	five-prime-30kb-100bp	0.6575049389319487
mammal	mLynCan4	five-prime-30kb-200bp	0.620707882807016
mammal	mLynCan4	five-prime-30kb-300bp	0.5825946156369213
mammal	mLynCan4	five-prime-30kb-400bp	0.5570795555568484
mammal	mLynCan4	five-prime-30kb-500bp	0.5360378447011628
mammal	mLynCan4	five-prime-30kb-600bp	0.519177581346463
mammal	mLynCan4	five-prime-30kb-700bp	0.5040445500962631
mammal	mLynCan4	five-prime-30kb-800bp	0.4920811676689851
mammal	mLynCan4	five-prime-30kb-900bp	0.4839568438428792
mammal	mLynCan4	five-prime-30kb-1000bp	0.4777833088902857
mammal	mLynCan4	five-prime-30kb-1100bp	0.4710885641666002
mammal	mLynCan4	five-prime-30kb-1200bp	0.4663040275101921
mammal	mLynCan4	five-prime-30kb-1300bp	0.4635373748360079
mammal	mLynCan4	five-prime-30kb-1400bp	0.46135538124514164
mammal	mLynCan4	five-prime-30kb-1500bp	0.4589614397097967
mammal	mLynCan4	five-prime-30kb-1600bp	0.4565994621480919
mammal	mLynCan4	five-prime-30kb-1700bp	0.45499141500936935
mammal	mLynCan4	five-prime-30kb-1800bp	0.45505123312840084
mammal	mLynCan4	five-prime-30kb-1900bp	0.45516637650621106
mammal	mLynCan4	five-prime-30kb-2000bp	0.4550180835248642
mammal	mLynCan4	five-prime-30kb-2100bp	0.4537986179368414
mammal	mLynCan4	five-prime-30kb-2200bp	0.4529842413963677
mammal	mLynCan4	five-prime-30kb-2300bp	0.45377394850579567
mammal	mLynCan4	five-prime-30kb-2400bp	0.45367936285881816
mammal	mLynCan4	five-prime-30kb-2500bp	0.45291961613118925
mammal	mLynCan4	five-prime-30kb-2600bp	0.4530681668836402
mammal	mLynCan4	five-prime-30kb-2700bp	0.4534762082247754
mammal	mLynCan4	five-prime-30kb-2800bp	0.4541055231902642
mammal	mLynCan4	five-prime-30kb-2900bp	0.4535635027210403
mammal	mLynCan4	five-prime-30kb-3000bp	0.45496403153940795
mammal	mLynCan4	five-prime-30kb-3100bp	0.45396777157396284
mammal	mLynCan4	five-prime-30kb-3200bp	0.4532959639970736
mammal	mLynCan4	five-prime-30kb-3300bp	0.4539833203759983
mammal	mLynCan4	five-prime-30kb-3400bp	0.4535034951149164
mammal	mLynCan4	five-prime-30kb-3500bp	0.45442071651344396
mammal	mLynCan4	five-prime-30kb-3600bp	0.45366168398237805
mammal	mLynCan4	five-prime-30kb-3700bp	0.45366669022545764
mammal	mLynCan4	five-prime-30kb-3800bp	0.4533832779701746
mammal	mLynCan4	five-prime-30kb-3900bp	0.4540956958088911
mammal	mLynCan4	five-prime-30kb-4000bp	0.4541706127641529
mammal	mLynCan4	five-prime-30kb-4100bp	0.4556420948476924
mammal	mLynCan4	five-prime-30kb-4200bp	0.4545096237661083
mammal	mLynCan4	five-prime-30kb-4300bp	0.4541319249714719
mammal	mLynCan4	five-prime-30kb-4400bp	0.45445509694359243
mammal	mLynCan4	five-prime-30kb-4500bp	0.4548192390324632
mammal	mLynCan4	five-prime-30kb-4600bp	0.45458156629912355
mammal	mLynCan4	five-prime-30kb-4700bp	0.45295951456892936
mammal	mLynCan4	five-prime-30kb-4800bp	0.4542132043782706
mammal	mLynCan4	five-prime-30kb-4900bp	0.45368021424491844
mammal	mLynCan4	five-prime-30kb-5000bp	0.45443923734757014
mammal	mLynCan4	five-prime-30kb-5100bp	0.4549561775515974
mammal	mLynCan4	five-prime-30kb-5200bp	0.4549528914791478
mammal	mLynCan4	five-prime-30kb-5300bp	0.4555278795258957
mammal	mLynCan4	five-prime-30kb-5400bp	0.45441491742643764
mammal	mLynCan4	five-prime-30kb-5500bp	0.45499974462851406
mammal	mLynCan4	five-prime-30kb-5600bp	0.45477147478525676
mammal	mLynCan4	five-prime-30kb-5700bp	0.45438906700762666
mammal	mLynCan4	five-prime-30kb-5800bp	0.4548964591137183
mammal	mLynCan4	five-prime-30kb-5900bp	0.45495653403067354
mammal	mLynCan4	five-prime-30kb-6000bp	0.45504588313958627
mammal	mLynCan4	five-prime-30kb-6100bp	0.4555659788347088
mammal	mLynCan4	five-prime-30kb-6200bp	0.45513976697539216
mammal	mLynCan4	five-prime-30kb-6300bp	0.45434821681004883
mammal	mLynCan4	five-prime-30kb-6400bp	0.45521612187642724
mammal	mLynCan4	five-prime-30kb-6500bp	0.45537814532089343
mammal	mLynCan4	five-prime-30kb-6600bp	0.45592875318066156
mammal	mLynCan4	five-prime-30kb-6700bp	0.45387545942889457
mammal	mLynCan4	five-prime-30kb-6800bp	0.4551158078273368
mammal	mLynCan4	five-prime-30kb-6900bp	0.45572787384673974
mammal	mLynCan4	five-prime-30kb-7000bp	0.45492790500424085
mammal	mLynCan4	five-prime-30kb-7100bp	0.4557487512958251
mammal	mLynCan4	five-prime-30kb-7200bp	0.45448756007916313
mammal	mLynCan4	five-prime-30kb-7300bp	0.4556512046397542
mammal	mLynCan4	five-prime-30kb-7400bp	0.4539334705075446
mammal	mLynCan4	five-prime-30kb-7500bp	0.4548756007916313
mammal	mLynCan4	five-prime-30kb-7600bp	0.45692004269913117
mammal	mLynCan4	five-prime-30kb-7700bp	0.45484968272697124
mammal	mLynCan4	five-prime-30kb-7800bp	0.45505772311751963
mammal	mLynCan4	five-prime-30kb-7900bp	0.4554618491959459
mammal	mLynCan4	five-prime-30kb-8000bp	0.4562366579486816
mammal	mLynCan4	five-prime-30kb-8100bp	0.4553056752332954
mammal	mLynCan4	five-prime-30kb-8200bp	0.45617677198895024
mammal	mLynCan4	five-prime-30kb-8300bp	0.4562310030395137
mammal	mLynCan4	five-prime-30kb-8400bp	0.45571711316886976
mammal	mLynCan4	five-prime-30kb-8500bp	0.4545119106524351
mammal	mLynCan4	five-prime-30kb-8600bp	0.4555261127211894
mammal	mLynCan4	five-prime-30kb-8700bp	0.45527207704338396
mammal	mLynCan4	five-prime-30kb-8800bp	0.4555139178039941
mammal	mLynCan4	five-prime-30kb-8900bp	0.4555281815187364
mammal	mLynCan4	five-prime-30kb-9000bp	0.4549402700219128
mammal	mLynCan4	five-prime-30kb-9100bp	0.45480121279936714
mammal	mLynCan4	five-prime-30kb-9200bp	0.4552085310632483
mammal	mLynCan4	five-prime-30kb-9300bp	0.45704214784367453
mammal	mLynCan4	five-prime-30kb-9400bp	0.4554898080238598
mammal	mLynCan4	five-prime-30kb-9500bp	0.45580081990387333
mammal	mLynCan4	five-prime-30kb-9600bp	0.45545518801243995
mammal	mLynCan4	five-prime-30kb-9700bp	0.455713881820752
mammal	mLynCan4	five-prime-30kb-9800bp	0.45478866270851004
mammal	mLynCan4	five-prime-30kb-9900bp	0.456152745802873
mammal	mLynCan4	five-prime-30kb-10000bp	0.4568892689630603
mammal	mLynCan4	five-prime-30kb-10100bp	0.4567554958648477
mammal	mLynCan4	five-prime-30kb-10200bp	0.45622414418427987
mammal	mLynCan4	five-prime-30kb-10300bp	0.45680166808029404
mammal	mLynCan4	five-prime-30kb-10400bp	0.4570234403738056
mammal	mLynCan4	five-prime-30kb-10500bp	0.4563334982681841
mammal	mLynCan4	five-prime-30kb-10600bp	0.456187736003009
mammal	mLynCan4	five-prime-30kb-10700bp	0.4567081360005654
mammal	mLynCan4	five-prime-30kb-10800bp	0.45740470543691897
mammal	mLynCan4	five-prime-30kb-10900bp	0.457111048278787
mammal	mLynCan4	five-prime-30kb-11000bp	0.4566530006361773
mammal	mLynCan4	five-prime-30kb-11100bp	0.45654265200916755
mammal	mLynCan4	five-prime-30kb-11200bp	0.4559907187159411
mammal	mLynCan4	five-prime-30kb-11300bp	0.4565406093164629
mammal	mLynCan4	five-prime-30kb-11400bp	0.4572234395985015
mammal	mLynCan4	five-prime-30kb-11500bp	0.45756838905775077
mammal	mLynCan4	five-prime-30kb-11600bp	0.4572142503711034
mammal	mLynCan4	five-prime-30kb-11700bp	0.45656195614762246
mammal	mLynCan4	five-prime-30kb-11800bp	0.4577075164553699
mammal	mLynCan4	five-prime-30kb-11900bp	0.45709196296034493
mammal	mLynCan4	five-prime-30kb-12000bp	0.4563550071191267
mammal	mLynCan4	five-prime-30kb-12100bp	0.45726545618167463
mammal	mLynCan4	five-prime-30kb-12200bp	0.45610298784704634
mammal	mLynCan4	five-prime-30kb-12300bp	0.45619538139577726
mammal	mLynCan4	five-prime-30kb-12400bp	0.456445848007684
