Genome	Repeat	NumCollapses	TotalBasesCollapseNorm	TotalExpandedNorm	Genes	AvgCollapseSize	Heterozygosity	NumCollapsesNorm	GenomeSize	TotalBases	TotalMissing	PrimSize
mPhyDis1	20.30	356	3.50	19.62	24	20.71	0.92	160.81	2.21	7373000	41371800	2108832841
mRhiFer1	19.97	260	4.37	22.52	79	34.85	0.27	109.71	2.37	9061900	46739100	2075785400
mLynCan4	14.74	115	1.39	7.59	10	29.06	0.19	46.53	2.47	3342400	18278900	2407810255
mOrnAna1	34.64	418	7.85	37.73	5	34.92	0.38	196.41	2.13	14596200	70153800	1859264908
bTaeGut1	11.48	334	5.68	29.92	143	18.01	1.14	322.51	1.04	6014500	31660800	1058012133
bTaeGut2	13.83	300	5.43	28.17	0	20.01	1.57	297.03	1.01	6002500	31162200	1106280703
bStrHab1	14.98	164	2.28	12.62	52	15.96	0.28	137.42	1.19	2617300	14494200	1148597545
bCalAnn1	14.43	144	3.24	16.04	49	23.81	0.62	128.98	1.12	3429000	16998000	1059706240
rGopEvg1	30.57	679	8.68	46.35	329	29.37	0.41	252.94	2.68	19941600	106530700	2298564209
aRhiBiv1	32.96	291	0.71	4.47	1	12.97	0.50	57.42	5.07	3775100	23797400	5319222779
fMasArm1	33.19	308	9.63	54.95	57	18.51	0.08	407.00	0.76	5702600	32528400	591935101
fAnaTes1	24.63	112	2.47	14.56	41	12.25	0.58	169.01	0.66	1371900	8089800	555641398
fArcCen1	29.37	356	6.21	31.85	128	16.27	0.42	360.31	0.99	5791300	29718600	932947025
fAstCal1	30.81	738	11.60	63.09	0	13.84	0.18	758.89	0.97	10215300	55550100	880428986
fCotGob3	28.00	231	5.54	29.89	112	14.62	0.34	379.93	0.61	3377100	18211900	609391784
fGouWil2	43.12	717	17.50	85.58	319	22.87	0.54	606.49	1.18	16400400	80199000	937150793
sAmbRad1	54.13	2379	31.38	136.65	513	33.76	0.94	748.04	3.18	80305800	349658000	2558784953
