clade	position	GC_mean	GC_se
Mammal	UTR5	0.6480846718668309	0.009245927605908894
Mammal	FirstCDS	0.5956461313396777	0.005823216954674263
Mammal	InternalCDS	0.5189858583950291	0.0069732877683540626
Mammal	LastCDS	0.5328481041882518	0.008053379664455912
Mammal	UTR3	0.47426880958510775	0.014440950189792018
Mammal	5'UTR-intron	0.48095802949664657	0.008486674079495438
Mammal	First-intron	0.4942220309321076	0.012071354445381719
Mammal	Internal-intron	0.4807448859519333	0.0136912802955056
Mammal	Last-intron	0.4974526088911507	0.014617565496408183
Mammal	3'UTR-intron	0.4732424301826189	0.012104947972740641
Mammal	five-prime-30kb-100bp	0.6530947633405677	0.013417562050849033
Mammal	five-prime-30kb-200bp	0.6117956434933846	0.014662799970268222
Mammal	five-prime-30kb-300bp	0.5729209483274786	0.013387359838483095
Mammal	five-prime-30kb-400bp	0.5477206041990755	0.012453697456121874
Mammal	five-prime-30kb-500bp	0.5291659207384389	0.011906294795680178
Mammal	five-prime-30kb-600bp	0.5149469818981727	0.011717392340292534
Mammal	five-prime-30kb-700bp	0.503276832342372	0.011802192893769088
Mammal	five-prime-30kb-800bp	0.4942000647853716	0.012195113963224037
Mammal	five-prime-30kb-900bp	0.48743005950194984	0.012683805765010174
Mammal	five-prime-30kb-1000bp	0.4821030703430025	0.012764346349123884
Mammal	five-prime-30kb-1100bp	0.4769429947628769	0.012848722551696695
Mammal	five-prime-30kb-1200bp	0.4740450358875009	0.013465505884595799
Mammal	five-prime-30kb-1300bp	0.4716645043355746	0.013508943705535412
Mammal	five-prime-30kb-1400bp	0.4698437479365558	0.013677505455287361
Mammal	five-prime-30kb-1500bp	0.46853209436790444	0.013801772776748367
Mammal	five-prime-30kb-1600bp	0.46614918708774256	0.0136795867705102
Mammal	five-prime-30kb-1700bp	0.46542505268235274	0.014058662852602799
Mammal	five-prime-30kb-1800bp	0.46485281282815855	0.01441246338842872
Mammal	five-prime-30kb-1900bp	0.4651975349436835	0.013784254446403637
Mammal	five-prime-30kb-2000bp	0.46447857953801264	0.01380901830704486
Mammal	five-prime-30kb-2100bp	0.4642017321461976	0.013838462006950247
Mammal	five-prime-30kb-2200bp	0.46400489757771896	0.014100577244337944
Mammal	five-prime-30kb-2300bp	0.46409094962804887	0.013947533972573173
Mammal	five-prime-30kb-2400bp	0.4638992566580557	0.01399832804251035
Mammal	five-prime-30kb-2500bp	0.46346874316443676	0.0137204561184017
Mammal	five-prime-30kb-2600bp	0.46357138958285227	0.013903008582500471
Mammal	five-prime-30kb-2700bp	0.4635687568680435	0.013751362256316563
Mammal	five-prime-30kb-2800bp	0.46453473405074264	0.013290295771828161
Mammal	five-prime-30kb-2900bp	0.4636597511819669	0.013446599762710286
Mammal	five-prime-30kb-3000bp	0.46428455905023647	0.01336948301633069
Mammal	five-prime-30kb-3100bp	0.46402621498946395	0.013404470563069783
Mammal	five-prime-30kb-3200bp	0.46417198634469325	0.01361473469894079
Mammal	five-prime-30kb-3300bp	0.4642275865894194	0.013287445717230348
Mammal	five-prime-30kb-3400bp	0.4641176437989088	0.013531989425541308
Mammal	five-prime-30kb-3500bp	0.4648715764738301	0.01318756604394507
